kaina:;kuro tipas;variklis;pavaru deze;rida;tipas;vietove
12400;Dyzelinas;3.0l.,195kW;Automatinė;283 000;Kupė (Coupe);Kaunas
13500;Dyzelinas;2.0l.,135kW;Automatinė;175 000;Hečbekas;Kaunas
23100;Dyzelinas;3.0l.,190kW;Automatinė;241 000;Visureigis / Krosoveris;Marijampolė
27500;Dyzelinas;3.0l.,195kW;Automatinė;200 000;Hečbekas;Marijampolė
210;Dyzelinas;1.9l.,66kW;Mechaninė;286 150;Hečbekas;Ignalina
1700;Dyzelinas;2.0l.,85kW;Mechaninė;270 000;Sedanas;Vilnius
2380;Dyzelinas;2.5l.,96kW;Mechaninė;290 000;Krovininis mikroautobusas;Joniškis
2499;Dyzelinas;1.4l.,55kW;Mechaninė;163 000;Hečbekas;Vilnius
2700;Dyzelinas;1.8l.,66kW;Mechaninė;135 000;Vienatūris;Vilnius
3950;Benzinas / elektra;1.5l.,56kW;Automatinė;187 000;Hečbekas;Kaunas
4550;Dyzelinas;2.1l.,125kW;Automatinė;288 000;Universalas;Telšiai
5000;Benzinas;2.0l.,112kW;Automatinė;247 000;Visureigis / Krosoveris;Vilnius
5150;Dyzelinas;2.2l.,110kW;Automatinė;194 000;Universalas;Vilnius
6000;Dyzelinas;3.0l.,171kW;Automatinė;234 753;Sedanas;Vilnius
6400;Dyzelinas;2.0l.,103kW;Mechaninė;197 000;Sedanas;Anykščiai
6500;Benzinas;4.8l.,265kW;Automatinė;265 000;Visureigis / Krosoveris;Vilnius
7700;Benzinas;3.0l.,225kW;Automatinė;284 000;Sedanas;Vilnius
8250;Dyzelinas;2.0l.,110kW;Automatinė;233 170;Universalas;Raseiniai
8300;Dyzelinas;1.6l.,81kW;Automatinė;300 000;Universalas;Kretinga
8800;Dyzelinas;2.0l.,120kW;Mechaninė;357 333;Universalas;Kaunas
kaina:;kuro tipas;variklis;pavaru deze;rida;tipas;vietove
9250;Benzinas / elektra / dujos;3.3l.,;Automatinė;245 000;Visureigis / Krosoveris;Vilnius
12000;Dyzelinas;3.0l.,180kW;Automatinė;258 000;Universalas;Druskininkai
12950;Dyzelinas;3.0l.,180kW;Automatinė;305 780;Universalas;Plungė
14450;Dyzelinas;1.6l.,88kW;Automatinė;295 450;Universalas;Jonava
15500;Benzinas;3.5l.,225kW;Automatinė;164 000;Limuzinas;Klaipėda
16500;Benzinas;1.6l.,97kW;Mechaninė;71 000;Visureigis / Krosoveris;Vilnius
18900;Benzinas;4.7l.,300kW;Automatinė;162 500;Visureigis / Krosoveris;Vilnius
19500;Benzinas;1.5l.,110kW;Automatinė;113 000;Sedanas;Vilnius
22900;Benzinas / elektra;1.4l.,160kW;Automatinė;53 120;Universalas;Vilnius
24900;Dyzelinas;3.0l.,200kW;Automatinė;272 341;Visureigis / Krosoveris;Vilnius
26700;Dyzelinas;3.0l.,230kW;Automatinė;278 000;Visureigis / Krosoveris;Vilnius
27000;Dyzelinas;3.0l.,240kW;Automatinė;192 000;Universalas;Utena
27900;Dyzelinas;4.1l.,283kW;Automatinė;206 000;Sedanas;Klaipėda
28300;Benzinas;2.0l.,206kW;Automatinė;98 200;Sedanas;Vilnius
28500;Dyzelinas;3.0l.,190kW;Automatinė;285 000;Sedanas;Panevėžys
32900;Benzinas;2.0l.,190kW;Automatinė;30 000;Sedanas;Jonava
34999;Benzinas;6.2l.,390kW;Automatinė;130 000;Sedanas;Panevėžys
39000;Dyzelinas / elektra;3.0l.,210kW;Automatinė;178 000;Universalas;Šiauliai
42200;Benzinas;4.0l.,375kW;Automatinė;100 000;Sedanas;Vilnius
60500;Benzinas / elektra;3.0l.,250kW;Automatinė;52 000;Visureigis / Krosoveris;Vilnius
11700;Dyzelinas;3.0l.,210kW;Automatinė;279580;Visureigis / Krosoveris;Vilnius
11850;Benzinas;2.0l.,180kW;Automatinė;100254;Visureigis / Krosoveris;Vilnius
12400;Dyzelinas;3.0l.,195kW;Automatinė;283000;Kupė (Coupe);Kaunas
13500;Dyzelinas;2.0l.,135kW;Automatinė;175000;Hečbekas;Kaunas
23100;Dyzelinas;3.0l.,190kW;Automatinė;241000;Visureigis / Krosoveris;Marijampolė
27500;Dyzelinas;3.0l.,195kW;Automatinė;200000;Hečbekas;Marijampolė
210;Dyzelinas;1.9l.,66kW;Mechaninė;286150;Hečbekas;Ignalina
1700;Dyzelinas;2.0l.,85kW;Mechaninė;270000;Sedanas;Vilnius
2380;Dyzelinas;2.5l.,96kW;Mechaninė;290000;Krovininis mikroautobusas;Joniškis
2499;Dyzelinas;1.4l.,55kW;Mechaninė;163000;Hečbekas;Vilnius
2700;Dyzelinas;1.8l.,66kW;Mechaninė;135000;Vienatūris;Vilnius
3800;Benzinas;1.6l.,91kW;Automatinė;265000;Sedanas;Vilnius
3950;Benzinas / elektra;1.5l.,56kW;Automatinė;187000;Hečbekas;Kaunas
4550;Dyzelinas;2.1l.,125kW;Automatinė;288000;Universalas;Telšiai
5000;Benzinas;2.0l.,112kW;Automatinė;247000;Visureigis / Krosoveris;Vilnius
5150;Dyzelinas;2.2l.,110kW;Automatinė;194000;Universalas;Vilnius
5900;Dyzelinas;3.0l.,171kW;Automatinė;234753;Sedanas;Vilnius
6400;Dyzelinas;2.0l.,103kW;Mechaninė;197000;Sedanas;Anykščiai
6500;Benzinas;4.8l.,265kW;Automatinė;265000;Visureigis / Krosoveris;Vilnius
7700;Benzinas;3.0l.,225kW;Automatinė;284000;Sedanas;Vilnius
8250;Dyzelinas;2.0l.,110kW;Automatinė;233170;Universalas;Raseiniai
8300;Dyzelinas;1.6l.,81kW;Automatinė;300000;Universalas;Kretinga
8800;Dyzelinas;2.0l.,120kW;Mechaninė;357333;Universalas;Kaunas
9250;Benzinas / elektra / dujos;3.3l.,;Automatinė;245000;Visureigis / Krosoveris;Vilnius
12000;Dyzelinas;3.0l.,180kW;Automatinė;258000;Universalas;Druskininkai
12700;Benzinas;4.7l.,300kW;Automatinė;190000;Kupė (Coupe);Vilnius
12950;Dyzelinas;3.0l.,180kW;Automatinė;305780;Universalas;Plungė
14450;Dyzelinas;1.6l.,88kW;Automatinė;295450;Universalas;Jonava
15500;Benzinas;3.5l.,225kW;Automatinė;164000;Limuzinas;Klaipėda
16000;Benzinas;4.4l.,331kW;Automatinė;200000;Kupė (Coupe);Vilnius
16500;Benzinas;1.6l.,97kW;Mechaninė;71000;Visureigis / Krosoveris;Vilnius
18900;Benzinas;4.7l.,300kW;Automatinė;162500;Visureigis / Krosoveris;Vilnius
19500;Benzinas;1.5l.,110kW;Automatinė;113000;Sedanas;Vilnius
22900;Benzinas / elektra;1.4l.,160kW;Automatinė;53120;Universalas;Vilnius
24900;Dyzelinas;3.0l.,200kW;Automatinė;272341;Visureigis / Krosoveris;Vilnius
26700;Dyzelinas;3.0l.,230kW;Automatinė;278000;Visureigis / Krosoveris;Vilnius
27000;Dyzelinas;3.0l.,240kW;Automatinė;192000;Universalas;Utena
27900;Dyzelinas;4.1l.,283kW;Automatinė;206000;Sedanas;Klaipėda
28300;Benzinas;2.0l.,206kW;Automatinė;98200;Sedanas;Vilnius
28500;Dyzelinas;3.0l.,190kW;Automatinė;285000;Sedanas;Panevėžys
